symbol,code,name,exchange,board,list_date,total_mv,float_mv,total_mv_bil,float_mv_bil,f2,f3,f6,f8
600023.SH,600023,浙能电力,SH,主板,2013-12-19,69189060985.0,69189060985.0,691.89060985,691.89060985,5.16,-0.39,417446726.0,0.61
600025.SH,600025,华能水电,SH,主板,2017-12-15,186683564455.0,180360000000.0,1866.83564455,1803.6,10.02,0.8,312256849.0,0.17
600026.SH,600026,中远海能,SH,主板,2002-05-23,60111782577.0,43782182577.0,601.11782577,437.82182577,12.6,3.96,688279685.0,1.59
600027.SH,600027,华电国际,SH,主板,2005-02-03,60845696724.0,44594116273.0,608.45696724,445.94116273,5.24,-0.19,336611111.0,0.76
600028.SH,600028,中国石化,SH,主板,2001-08-08,662841546928.0,518784781935.0,6628.41546928,5187.84781935,5.47,1.11,782991547.0,0.15
600029.SH,600029,南方航空,SH,主板,2003-07-25,119598060839.0,83644107182.0,1195.98060839,836.44107182,6.6,6.28,1121811205.0,1.37
600030.SH,600030,中信证券,SH,主板,2003-01-06,433204583812.0,355920584970.0,4332.04583812,3559.2058497,29.23,0.48,3594768008.0,1.01
600031.SH,600031,三一重工,SH,主板,2003-07-03,190589031932.0,190589031932.0,1905.89031932,1905.89031932,22.49,-0.04,1335934334.0,0.7
600032.SH,600032,浙江新能,SH,主板,2021-05-25,17842690904.0,17842690904.0,178.42690904,178.42690904,7.42,0.13,46042396.0,0.26
600033.SH,600033,福建高速,SH,主板,2001-02-09,9632844000.0,9632844000.0,96.32844,96.32844,3.51,0.86,137364713.0,1.44
600035.SH,600035,楚天高速,SH,主板,2004-03-10,6553171717.0,6553171717.0,65.53171717,65.53171717,4.07,0.49,62300289.0,0.95
600036.SH,600036,招商银行,SH,主板,2002-04-09,1044606004793.0,854450878249.0,10446.06004793,8544.50878249,41.42,-0.41,2694843445.0,0.31
600037.SH,600037,歌华有线,SH,主板,2001-02-08,11510003101.0,11510003101.0,115.10003101,115.10003101,8.27,1.1,159968938.0,1.4
600038.SH,600038,中直股份,SH,主板,2000-12-18,29598144989.0,24148561478.0,295.98144989,241.48561478,36.1,-0.69,386037209.0,1.6
600039.SH,600039,四川路桥,SH,主板,2003-03-25,74608167734.0,57619561471.0,746.08167734,576.19561471,8.58,-0.69,169663131.0,0.3
600048.SH,600048,保利发展,SH,主板,2006-07-31,92292118753.0,92292118753.0,922.92118753,922.92118753,7.71,-0.52,918295755.0,0.99
600050.SH,600050,中国联通,SH,主板,2002-10-09,171016406539.0,168294538915.0,1710.16406539,1682.94538915,5.47,0.55,1025265023.0,0.61
600052.SH,600052,东望时代,SH,主板,1997-04-15,4305393179.0,4305393179.0,43.05393179,43.05393179,5.1,0.0,54614395.0,1.26
